"text","urgency","authority","fear","impersonation","cleaned_text"
"The project documentation has been updated on the wiki.","0","0","0","0","The project documentation has been updated on the wiki."
"Hello, would you like to grab coffee next Tuesday?","0","0","0","0","Hello, would you like to grab coffee next Tuesday?"
"Don't forget the milk on your way home.","0","0","0","0","Don't forget the milk on your way home."
"Urgent message from your bank: Claim your reward now.","1","0","0","1","Urgent message from your bank: Claim your reward now."
"Action Required: Unusual login attempt from Russia. Secure your account.","1","0","1","0","Action Required: Unusual login attempt from Russia. Secure your account."
"Please find the attached agenda for tomorrow's meeting.","0","0","0","0","Please find the attached agenda for tomorrow's meeting."
"IMMEDIATE: Your subscription is cancelled. Pay now to avoid data loss.","1","0","1","0","IMMEDIATE: Your subscription is cancelled. Pay now to avoid data loss."
"This is IT support. We need your password to fix your mailbox.","0","1","0","1","This is IT support. We need your password to fix your mailbox."
"Hi, this is Mark from Finance. Can you send me the Q4 revenue report?","0","1","0","1","Hi, this is Mark from Finance. Can you send me the Q4 revenue report?"
"Meeting reminder: Weekly Sync at 10 AM.","0","0","0","0","Meeting reminder: Weekly Sync at 10 AM."
"Dear Employee, This is the CEO. Please wire $5000 to this account for a secret project.","1","1","0","1","Dear Employee, This is the CEO. Please wire $5000 to this account for a secret project."
"Department of Justice: You are subpoenaed. View the case file here.","1","1","1","0","Department of Justice: You are subpoenaed. View the case file here."
"Hey, are we still on for the movie tonight?","0","0","0","0","Hey, are we still on for the movie tonight?"
"Internal Memo: HR requires your SSN for the new benefits portal.","0","1","0","1","Internal Memo: HR requires your SSN for the new benefits portal."
"Emergency: Your child was in an accident. Send insurance details.","1","0","1","1","Emergency: Your child was in an accident. Send insurance details."
"Hi mom, I lost my phone. Can you send me some money for a new one?","1","0","0","1","Hi mom, I lost my phone. Can you send me some money for a new one?"
"Can you review this pull request when you have a moment?","0","0","0","0","Can you review this pull request when you have a moment?"
"You have a new voicemail. Listen here.","0","0","0","0","You have a new voicemail. Listen here."
"Urgent: Your account will be locked in 1 hour if you don't verify.","1","0","1","0","Urgent: Your account will be locked in 1 hour if you don't verify."
"Your order has been shipped. Track it here.","0","0","0","0","Your order has been shipped. Track it here."
"Police Dept: Unpaid traffic violation found. Pay or face arrest.","1","1","1","0","Police Dept: Unpaid traffic violation found. Pay or face arrest."
"I am the CEO. Wire $50k immediately for the merger.","1","1","0","1","I am the CEO. Wire $50k immediately for the merger."
"IRS Final Notice: Lawsuit filed against you.","1","1","1","0","IRS Final Notice: Lawsuit filed against you."
"From the Desk of the President: Confidential Inquiry.","0","1","0","0","From the Desk of the President: Confidential Inquiry."
"Police Warrant Issued. Call this number to resolve.","1","1","1","0","Police Warrant Issued. Call this number to resolve."
"HR Director: Your termination notice is attached.","1","1","1","0","HR Director: Your termination notice is attached."
"System Admin: Root access detected. reset password.","1","1","1","1","System Admin: Root access detected. reset password."
"Manager: I need those gift cards by 2 PM.","1","1","0","0","Manager: I need those gift cards by 2 PM."
"FBI: Illegal activity detected on your IP.","1","1","1","0","FBI: Illegal activity detected on your IP."
"Your account has been hacked. 2FA disabled.","1","0","1","0","Your account has been hacked. 2FA disabled."
"We recorded you through your webcam. Pay BTC.","1","0","1","0","We recorded you through your webcam. Pay BTC."
"Your child has been kidnapped. Do not call police.","1","0","1","0","Your child has been kidnapped. Do not call police."
"Final Warning: Electricity will be cut off.","1","1","1","0","Final Warning: Electricity will be cut off."
"Subscription expired. Your data will be deleted in 10 mins.","1","0","1","0","Subscription expired. Your data will be deleted in 10 mins."
"Virus detected! Your computer is infected.","1","0","1","0","Virus detected! Your computer is infected."
"Unauthorized backup detected. content leaked.","1","0","1","0","Unauthorized backup detected. content leaked."
"Netflix: Payment declined. Update card to keep watching.","1","0","0","1","Netflix: Payment declined. Update card to keep watching."
"Amazon: Suspicious order of $2000 placed.","1","0","1","1","Amazon: Suspicious order of $2000 placed."
"Microsoft: Windows Defender needs an update.","0","1","0","1","Microsoft: Windows Defender needs an update."
"Apple Support: iCloud storage full. Photos pending delete.","1","0","1","1","Apple Support: iCloud storage full. Photos pending delete."
"PayPal: You sent $500 to unknown@email.com. Cancel?","1","0","1","1","PayPal: You sent $500 to unknown@email.com. Cancel?"
"Chase Bank: Zelle transfer initiated. Authorize?","1","1","0","1","Chase Bank: Zelle transfer initiated. Authorize?"
"LinkedIn: Your profile appeared in 50 searches.","0","0","0","1","LinkedIn: Your profile appeared in 50 searches."
"Zoom: Meeting started without you. Join now.","0","0","0","1","Zoom: Meeting started without you. Join now."
"Can we reschedule the meeting to 3 PM?","0","0","0","0","Can we reschedule the meeting to 3 PM?"
"Here are the photos from the trip.","0","0","0","0","Here are the photos from the trip."
"Project timeline update for Q3.","0","0","0","0","Project timeline update for Q3."
"Lunch is on me today!","0","0","0","0","Lunch is on me today!"
"Reminder: Team building event on Friday.","0","0","0","0","Reminder: Team building event on Friday."
"Official notice from the Police Department regarding suspicious activity","0","1","0","0","Official notice from the Police Department regarding suspicious activity"
"Cyber Crime Cell has detected illegal access from your IP address","0","1","1","0","Cyber Crime Cell has detected illegal access from your IP address"
"Government of India security advisory issued for your account","0","1","0","0","Government of India security advisory issued for your account"
"Legal notice issued by the court. Immediate response required","1","1","1","0","Legal notice issued by the court. Immediate response required"
"FBI Internet Crime Complaint Center has flagged your device","0","1","1","0","FBI Internet Crime Complaint Center has flagged your device"
"RBI has temporarily restricted your bank account","1","1","1","0","RBI has temporarily restricted your bank account"
"Your bank security team requests verification of your identity","1","1","0","1","Your bank security team requests verification of your identity"
"Income Tax Department refund verification pending","0","1","0","1","Income Tax Department refund verification pending"
"Official communication from SBI regarding account compliance","0","1","0","0","Official communication from SBI regarding account compliance"
"Federal Bank compliance team requires immediate confirmation","1","1","0","1","Federal Bank compliance team requires immediate confirmation"
"Microsoft Support detected malware on your system","1","1","1","1","Microsoft Support detected malware on your system"
"Official Microsoft Security Alert: Action required","1","1","1","1","Official Microsoft Security Alert: Action required"
"Google Security Team requires password reset","1","1","0","1","Google Security Team requires password reset"
"Apple Support has locked your Apple ID","1","1","1","1","Apple Support has locked your Apple ID"
"Meta Business Security Team flagged unusual login","1","1","0","1","Meta Business Security Team flagged unusual login"
"This is the CEO. Complete the transfer immediately","1","1","0","1","This is the CEO. Complete the transfer immediately"
"Urgent request from company director regarding confidential payment","1","1","0","1","Urgent request from company director regarding confidential payment"
"Chairman requires immediate approval for transaction","1","1","0","1","Chairman requires immediate approval for transaction"
"Finance head requesting emergency fund release","1","1","0","1","Finance head requesting emergency fund release"
"Executive management requires immediate action","1","1","0","0","Executive management requires immediate action"
"Failure to comply will result in legal action by authorities","1","1","1","0","Failure to comply will result in legal action by authorities"
"Your account is under investigation by law enforcement","0","1","1","0","Your account is under investigation by law enforcement"
"Immediate response required to avoid penalties from tax department","1","1","1","0","Immediate response required to avoid penalties from tax department"
"Security breach reported to government cyber division","0","1","1","0","Security breach reported to government cyber division"
"Non-compliance may lead to permanent account suspension","1","1","1","1","Non-compliance may lead to permanent account suspension"
"Court Authority alert: legal action will be initiated. Please complete verification to avoid consequences.","1","1","1","1","Court Authority alert: legal action will be initiated. Please complete verification to avoid consequences."
"Managing Director alert: unauthorized access detected. Please verify your identity immediately.","1","1","1","1","Managing Director alert: unauthorized access detected. Please verify your identity immediately."
"Managing Director alert: account will be suspended. Please verify your identity immediately.","1","1","1","1","Managing Director alert: account will be suspended. Please verify your identity immediately."
